Date,Year,Month,Day,Weekday,DaysLived,Weighed,W
7/1/2026,2026,7,1,4,10024,63.6 kg,63.6
6/29/2026,2026,6,29,2,10022,64.0 kg,64
6/24/2026,2026,6,24,4,10017,64.10 kg,64.1
6/22/2026,2026,6,22,2,10015,64.00 kg,64
6/20/2026,2026,6,20,7,10013,64.00 kg,64
6/18/2026,2026,6,18,5,10011,63.95 kg,63.95
6/16/2026,2026,6,16,3,10009,64.65 kg,64.65
3/29/2026,2026,3,29,1,9930,62.65 kg,62.65
3/28/2026,2026,3,28,7,9929,62.65 kg,62.65
3/27/2026,2026,3,27,6,9928,62.65 kg,62.65
3/26/2026,2026,3,26,5,9927,62.65 kg,62.65
3/25/2026,2026,3,25,4,9926,62.65 kg,62.65
3/24/2026,2026,3,24,3,9925,62.0 kg,62
3/17/2026,2026,3,17,3,9918,62.65 kg,62.65
3/16/2026,2026,3,16,2,9917,63.2 kg,63.2
3/15/2026,2026,3,15,1,9916,62.3 kg,62.3
3/14/2026,2026,3,14,7,9915,62.2 kg,62.2
3/13/2026,2026,3,13,6,9914,62.2 kg,62.2
3/12/2026,2026,3,12,5,9913,62.2 kg,62.2
3/11/2026,2026,3,11,4,9912,62.2 kg,62.2
3/10/2026,2026,3,10,3,9911,62.2 kg,62.2
3/9/2026,2026,3,9,2,9910,63.05 kg,63.05
3/8/2026,2026,3,8,1,9909,62.7 kg,62.7
3/7/2026,2026,3,7,7,9908,62 kg,62
3/6/2026,2026,3,6,6,9907,63.4 kg,63.4
3/5/2026,2026,3,5,5,9906,62.8 kg,62.8
3/4/2026,2026,3,4,4,9905,62.8 kg,62.8
3/3/2026,2026,3,3,3,9904,62.8 kg,62.8
3/2/2026,2026,3,2,2,9903,63.4 kg,63.4
3/1/2026,2026,3,1,1,9902,63.4 kg,63.4
8/20/2025,2025,8,20,4,9709,67 kg,67
7/5/2025,2025,7,5,7,9663,66.3 kg,66.3
5/29/2025,2025,5,29,5,9626,66.1 kg,66.1
5/23/2025,2025,5,23,6,9620,66.4 kg,66.4
5/17/2025,2025,5,17,7,9614,66.1 kg,66.1
5/16/2025,2025,5,16,6,9613,65.6 kg,65.6
5/15/2025,2025,5,15,5,9612,64.1 kg,64.1
5/13/2025,2025,5,13,3,9610,65.3 kg,65.3
5/9/2025,2025,5,9,6,9606,64.4 kg,64.4
5/8/2025,2025,5,8,5,9605,64.7 kg,64.7
4/30/2025,2025,4,30,4,9597,65.4 kg,65.4
4/24/2025,2025,4,24,5,9591,64.5 kg,64.5
4/23/2025,2025,4,23,4,9590,64.5 kg,64.5
4/22/2025,2025,4,22,3,9589,64.6 kg,64.6
4/18/2025,2025,4,18,6,9585,64.0 kg,64
4/17/2025,2025,4,17,5,9584,64.3 kg,64.3
4/15/2025,2025,4,15,3,9582,64.4 kg,64.4
4/12/2025,2025,4,12,7,9579,64.3 kg,64.3
4/2/2025,2025,4,2,4,9569,63.8 kg,63.8
1/28/2025,2025,1,28,3,9505,64.4 kg,64.4
1/10/2025,2025,1,10,6,9487,64.3 kg,64.3
1/9/2025,2025,1,9,5,9486,64.2 kg,64.2
1/8/2025,2025,1,8,4,9485,64.1 kg,64.1
1/6/2025,2025,1,6,2,9483,64.0 kg,64
1/5/2025,2025,1,5,1,9482,63.9 kg,63.9
1/3/2025,2025,1,3,6,9480,63.8 kg,63.8
1/2/2025,2025,1,2,5,9479,63.7 kg,63.7
1/1/2025,2025,1,1,4,9478,63.6 kg,63.6
12/31/2024,2024,12,31,3,9477,63.5 kg,63.5
12/30/2024,2024,12,30,2,9476,63.4 kg,63.4
12/29/2024,2024,12,29,1,9475,63.4 kg,63.4
12/28/2024,2024,12,28,7,9474,63.2 kg,63.2
9/22/2024,2024,9,22,1,9377,61.6 kg,61.6
9/19/2024,2024,9,19,5,9374,61.4 kg,61.4
9/13/2024,2024,9,13,6,9368,61.3 kg,61.3
9/12/2024,2024,9,12,5,9367,61.2 kg,61.2
9/10/2024,2024,9,10,3,9365,61.4 kg,61.4
9/6/2024,2024,9,6,6,9361,61.3 kg,61.3
9/4/2024,2024,9,4,4,9359,61.2 kg,61.2
9/3/2024,2024,9,3,3,9358,61.1 kg,61.1
9/2/2024,2024,9,2,2,9357,61 kg,61
9/1/2024,2024,9,1,1,9356,60.9 kg,60.9
8/31/2024,2024,8,31,7,9355,61.1 kg,61.1
8/30/2024,2024,8,30,6,9354,61.1 kg,61.1
8/28/2024,2024,8,28,4,9352,61.2 kg,61.2
8/27/2024,2024,8,27,3,9351,61.3 kg,61.3
8/25/2024,2024,8,25,1,9349,60.8 kg,60.8
8/24/2024,2024,8,24,7,9348,61.0 kg,61
8/21/2024,2024,8,21,4,9345,60.9 kg,60.9
8/18/2024,2024,8,18,1,9342,60.7 kg,60.7
8/16/2024,2024,8,16,6,9340,60.9 kg,60.9
8/14/2024,2024,8,14,4,9338,60.5 kg,60.5
8/12/2024,2024,8,12,2,9336,60.8 kg,60.8
8/11/2024,2024,8,11,1,9335,61.5 kg,61.5
8/9/2024,2024,8,9,6,9333,58.9 kg,58.9
8/7/2024,2024,8,7,4,9331,60.0 kg,60
8/4/2024,2024,8,4,1,9328,59.9 kg,59.9
7/29/2024,2024,7,29,2,9322,59.8 kg,59.8
7/26/2024,2024,7,26,6,9319,60.0 kg,60
7/12/2024,2024,7,12,6,9305,58.4 kg,58.4
7/11/2024,2024,7,11,5,9304,59.0 kg,59
7/10/2024,2024,7,10,4,9303,58.3 kg,58.3
7/9/2024,2024,7,9,3,9302,58.9 kg,58.9
7/8/2024,2024,7,8,2,9301,59.0 kg,59
7/7/2024,2024,7,7,1,9300,58.2 kg,58.2
7/2/2024,2024,7,2,3,9295,58.0 kg,58
7/1/2024,2024,7,1,2,9294,58.2 kg,58.2
6/30/2024,2024,6,30,1,9293,58.7 kg,58.7
6/29/2024,2024,6,29,7,9292,58.6 kg,58.6
6/28/2024,2024,6,28,6,9291,58.1 kg,58.1
6/27/2024,2024,6,27,5,9290,59.1 kg,59.1
6/26/2024,2024,6,26,4,9289,59.6 kg,59.6
6/25/2024,2024,6,25,3,9288,60.0 kg,60
6/24/2024,2024,6,24,2,9287,58.9 kg,58.9
4/4/2024,2024,4,4,5,9206,62.2 kg,62.2
4/2/2024,2024,4,2,3,9204,62.1 kg,62.1
4/1/2024,2024,4,1,2,9203,62.0 kg,62
3/24/2024,2024,3,24,1,9195,61.9 kg,61.9
3/21/2024,2024,3,21,5,9192,62.6 kg,62.6
3/16/2024,2024,3,16,7,9187,62.5 kg,62.5
3/11/2024,2024,3,11,2,9182,62.4 kg,62.4
3/6/2024,2024,3,6,4,9177,62.3 kg,62.3
2/5/2024,2024,2,5,2,9147,60.8 kg,60.8
2/3/2024,2024,2,3,7,9145,60.7 kg,60.7
2/1/2024,2024,2,1,5,9143,60.6 kg,60.6
1/18/2024,2024,1,18,5,9129,60.5 kg,60.5
11/17/2023,2023,11,17,6,9067,60.4 kg,60.4
11/16/2023,2023,11,16,5,9066,60.9 kg,60.9
11/15/2023,2023,11,15,4,9065,61.6 kg,61.6
10/3/2023,2023,10,3,3,9022,60.9 kg,60.9
4/3/2023,2023,4,3,2,8839,60.2 kg,60.2
3/8/2023,2023,3,8,4,8813,59.4 kg,59.4
2/21/2023,2023,2,21,3,8798,58.0 kg,58
12/10/2022,2022,12,10,7,8725,57.4 kg,57.4
11/30/2022,2022,11,30,4,8715,57.5 kg,57.5
10/20/2022,2022,10,20,5,8674,56.0 kg,56
10/19/2022,2022,10,19,4,8673,55.0 kg,55
9/16/2022,2022,9,16,6,8640,55.0 kg,55
3/11/2022,2022,3,11,6,8451,56.0 kg,56
8/6/2021,2021,8,6,6,8234,58.6 kg,58.6
7/12/2021,2021,7,12,2,8209,58.4 kg,58.4
5/7/2021,2021,5,7,6,8143,57.4 kg,57.4
4/11/2021,2021,4,11,1,8117,55.1 kg,55.1
4/9/2021,2021,4,9,6,8115,55.1 kg,55.1
4/5/2021,2021,4,5,2,8111,54.1 kg,54.1
3/4/2021,2021,3,4,5,8079,54.0 kg,54